annee,type,topic,valeur
2013.0,mot_cle_eco,warming,79.0
2013.0,mot_cle_eco,biodiversity,427.0
2013.0,mot_cle_eco,ecosystem,113.0
2013.0,mot_cle_eco,pollution,409.0
2013.0,mot_cle_eco,sustainable,3345.0
2013.0,mot_cle_eco,sustainability,743.0
2013.0,mot_cle_eco,renewable,1021.0
2013.0,mot_cle_eco,energy,6164.0
2013.0,mot_cle_eco,carbon,764.0
2013.0,mot_cle_eco,greenhouse,531.0
2013.0,mot_cle_eco,emissions,1396.0
2013.0,mot_cle_eco,ecological,233.0
2013.0,mot_cle_eco,atmospheric,3.0
2013.0,mot_cle_eco,ozone,3.0
2013.0,mot_cle_eco,waste,763.0
2014.0,topic_weight,0,6.980676174163818
2014.0,topic_weight,1,0.0
2014.0,topic_weight,2,12.86377239227295
2014.0,topic_weight,3,1.2054487466812134
2014.0,topic_weight,4,6.022138595581055
2014.0,topic_weight,5,0.8681496977806091
2014.0,nb_topics_actifs,,4.0
2014.0,mot_cle_eco,environment,2237.0
2014.0,mot_cle_eco,environmental,1684.0
2014.0,mot_cle_eco,climate,2096.0
2014.0,mot_cle_eco,global,593.0
2014.0,mot_cle_eco,warming,131.0
2014.0,mot_cle_eco,biodiversity,343.0
2014.0,mot_cle_eco,ecosystem,60.0
2014.0,mot_cle_eco,pollution,249.0
2014.0,mot_cle_eco,sustainable,1876.0
2014.0,mot_cle_eco,sustainability,421.0
2014.0,mot_cle_eco,renewable,495.0
2014.0,mot_cle_eco,energy,3891.0
2014.0,mot_cle_eco,carbon,476.0
2014.0,mot_cle_eco,greenhouse,546.0
2014.0,mot_cle_eco,emissions,1310.0
2014.0,mot_cle_eco,ecological,164.0
2014.0,mot_cle_eco,atmospheric,15.0
2014.0,mot_cle_eco,ozone,27.0
2014.0,mot_cle_eco,waste,768.0
2015.0,topic_weight,0,9.670342445373535
2015.0,topic_weight,1,0.0
2015.0,topic_weight,2,4.139883995056152
2015.0,topic_weight,3,10.557662963867188
2015.0,topic_weight,4,0.9373040795326233
2015.0,topic_weight,5,2.5756335258483887
2015.0,nb_topics_actifs,,4.0
2015.0,mot_cle_eco,environment,4199.0
2015.0,mot_cle_eco,environmental,2637.0
2015.0,mot_cle_eco,climate,3597.0
2015.0,mot_cle_eco,global,1079.0
2015.0,mot_cle_eco,warming,213.0
2015.0,mot_cle_eco,biodiversity,350.0
2015.0,mot_cle_eco,ecosystem,228.0
2015.0,mot_cle_eco,pollution,827.0
2015.0,mot_cle_eco,sustainable,5269.0
2015.0,mot_cle_eco,sustainability,1056.0
2015.0,mot_cle_eco,renewable,1005.0
2015.0,mot_cle_eco,energy,10143.0
2015.0,mot_cle_eco,carbon,861.0
2015.0,mot_cle_eco,greenhouse,906.0
2015.0,mot_cle_eco,emissions,2899.0
2015.0,mot_cle_eco,ecological,256.0
2015.0,mot_cle_eco,atmospheric,39.0
2015.0,mot_cle_eco,ozone,20.0
2015.0,mot_cle_eco,waste,1428.0
